description,title,section,site,issue_num,link
Dave Smith examines how Google Play Services libraries are constructed.,Play Services Complexity,Articles & Tutorials,wiresareobsolete.com,212,http://wiresareobsolete.com/2016/06/play-services-complexity/
"In this series, Rebecca Franks is going to try make testing a bit easier for you. This first post is just to get you started with testing.",Introduction to Automated Android Testing - Part 1,Articles & Tutorials,riggaroo.co.za,212,https://riggaroo.co.za/introduction-automated-android-testing/
"Related to other improvements to the Android platform, the dynamic linker in Android M and N has stricter requirements for writing clean, cross-platform compatible native code in order to load. It is necessary that an application’s native code follows the rules and recommendations in order to ensure a smooth transition to recent Android releases.",Android changes for NDK developers,Articles & Tutorials,android-developers.blogspot.com,212,http://android-developers.blogspot.com/2016/06/android-changes-for-ndk-developers.html
"This article examines common sources of memory leaks on Android, and how to clean them up.","Memory leaks in Android — identify, treat and avoid",Articles & Tutorials,medium.com,212,https://medium.com/freenet-engineering/memory-leaks-in-android-identify-treat-and-avoid-d0b1233acc8#.5nh9i85wc
How did Instagram engineering scale the team and create so many awesome new features while maintaining our best-in-class app size and performance? Read the article to find out.,Instagram + Android: Four Years Later,Articles & Tutorials,engineering.instagram.com,212,https://engineering.instagram.com/instagram-android-four-years-later-927c166b0201#.xnfd0x8p2
Romain Guy experiments with a better underline for text on Android.,A better underline for Android,Articles & Tutorials,medium.com,212,https://medium.com/google-developers/a-better-underline-for-android-90ba3a2e4fb#.6olj0w1i6
"How Iván Carballo and his team wrote 250 UI tests that run under 3 minutes with Espresso, Mockito and Dagger.",Fast and reliable UI tests on Android,Articles & Tutorials,labs.ribot.co.uk,212,https://labs.ribot.co.uk/fast-and-reliable-ui-tests-on-android-17c261b8220c#.ny3uhsivr
The Philosophical Hacker ponders what a unit test recorder would look and work like.,Why don't we have a unit test recorder?,Articles & Tutorials,www.philosophicalhacker.com,212,http://www.philosophicalhacker.com/post/why-dont-we-have-a-unit-test-recorder/
"Download the app to stay up to date with features and best practices that will help you grow a successful app or game business on Google Play. Get tailored content based on your objectives, and the latest articles and videos from Google experts and across the web.",Get the Playbook app for developers,Sponsored,play.google.com,212,https://play.google.com/store/apps/details?id=com.google.android.apps.secrets&utm_source=newsletter&utm_medium=email&utm_content=ad2&utm_campaign=androidweekly
"On Hired, Android engineers typically get 5+ job offers in 1 week. Find that new opportunity you've been craving and get access to 3,500+ companies instantly.",Work on a Better Stack!,Sponsored,hired.com,212,https://hired.com/?utm_source=newsletter&utm_medium=androidweekly&utm_term=cat-tech-android&utm_campaign=q2-16&utm_location=us&utm_content=betterstack
"Motion in the world of design is used to describe spatial relationships, functionality, and intention with beauty and fluidity. Thoughtful motion in design can enhance the user’s experience over traditional design elements.",Motion in UX Design,Design,uxplanet.org,212,https://uxplanet.org/motion-in-ux-design-90f6da5c32fe#.fh32i7g60
"Centralway’s vision is to change the future of mobile banking.  Therefore, we are looking for skilled and motivated Android Engineers with a passion for high quality products, experience in publishing apps in the Google Play store and a strong knowledge of Android UI design principles. ",Android Engineer,Jobs,"Zürich, Switzerland",212,https://www.centralway.com/en/careers/open-positions/details#oOgFZfws
"We’re looking for experienced Android engineers to come and help us reinvent email and calendar on mobile for millions of people. Based in SF or NY, you'd be part of the Outlook for Android team, building the best user experience out there alongside our server and design teams.",Android Engineer at Microsoft,Jobs,"United States, San Francisco CA / New York NY",212,https://aka.ms/d9nqhi
SQLCipher 3.5.0 with support for Android N was released recently.,SQLCipher 3.5.0 for Android Release,Libraries & Code,discuss.zetetic.net,212,https://discuss.zetetic.net/t/sqlcipher-for-android-release-android-n-support/1465
A simple bash script to enable demo mode on a Marshmallow+ device via ADB.,Enable demo mode on a Marshmallow+ device via ADB,Libraries & Code,gist.github.com,212,https://gist.github.com/rock3r/369ef6fa734c865c564ef4fe5fb6ef6b
A new Blueprints sample has been released! An approach to MVP using CursorLoaders and ContentProvider.,android-architecture,Libraries & Code,github.com,212,https://github.com/googlesamples/android-architecture/tree/todo-mvp-contentproviders
"Boris Farber, author of the great ClassyShark APK inspection tool, has started to create a user guide for it. Check it out and please provide comments and content.",ClassyShark User guide,Libraries & Code,github.com,212,https://github.com/borisf/classyshark-user-guide
"Google has release the new Google Cast SDK. This new SDK focuses on making development for Cast quicker, more reliable, and easier to maintain. ",New Google Cast SDK released for Android and iOS,News,developers.googleblog.com,212,https://developers.googleblog.com/2016/06/new-google-cast-sdk-released-for.html
"Google Awareness API is available to all developers through Google Play services. It enables your apps to intelligently react to user context using snapshots and fences with minimal impact on system resources.","Create Intelligent, Context-Aware Apps with the Google Awareness APIs",News,android-developers.blogspot.com,212,http://android-developers.blogspot.com/2016/06/create-intelligent-context-aware-apps.html
"The latest version of the Google Maps Android API includes the ability to order the display of markers on the map with the new marker zIndex property, the ability to set the transparency of your tile overlays, and a new circle click listener.",Marker zIndex and more come to the Google Maps Android API,News,googlegeodevelopers.blogspot.com,212,http://googlegeodevelopers.blogspot.com/2016/06/marker-zindex-and-more-come-to-google.html
"This session examines the importance of lean layouts, tools for analyzing layouts and their performance, tips and techniques for making layouts leaner, common mistakes and misconceptions, and general good practices.",Loving Lean Layouts,Videos & Podcasts,www.youtube.com,212,https://www.youtube.com/watch?v=gwqQT5NrhUg
"The aim of this talk is to showcase the importance of a well thought out software architecture and how to implement such an MVP based architecture and last but not least to clarify what the word “reactive” actually means in this context.",Refactoring Plaid App – A reactive MVP approach,Videos & Podcasts,www.youtube.com,212,https://www.youtube.com/watch?v=wWyPc_HN77c&feature=youtu.be
Hosts Artem Zinnatullin and Hannes Dorfmann discuss Android TV with Joe Birch,TheContext 5 with Joe Birch,Videos & Podcasts,github.com,212,https://github.com/artem-zinnatullin/TheContext-Podcast/blob/master/show_notes/Episode_5.md
