description,title,section,site,issue_num,link
This post is focused on examining the ConstraintLayout container architecture and how it does its job. ,"ConstraintLayout, Inside and Out: Part 1",Articles & Tutorials,wiresareobsolete.com,215,http://wiresareobsolete.com/2016/07/constraintlayout-part-1/
Here are some important tips to consider when creating an open source library.,How not to become a public enemy - Part 1 ,Articles & Tutorials,blog.karumi.com,215,http://blog.karumi.com/how-not-to-become-a-public-enemy-part-1/
In this post Savelii Zagurskii showcases a solution for the situation where a developer has an external library which is very slow to load and initialize.,How to Load Heavy Libraries on Splash Screen,Articles & Tutorials,szagurskii.com,215,http://szagurskii.com/blog/how-to-load-heavy-libraries-on-splash-screen/
"Whether you’re building an app for a remote viewfinder, to set up a connected light bulb, or to control a quadcopter, if it’s Wi-Fi based you will need to connect to a hotspot that may not have Internet connectivity.",Connecting your App to a Wi-Fi Device ,Articles & Tutorials,android-developers.blogspot.com,215,http://android-developers.blogspot.com/2016/07/connecting-your-app-to-wi-fi-device.html
The team at Robinhood open sourced their gorgeous ticker text control.,"Hello, Ticker ",Articles & Tutorials,medium.com,215,https://medium.com/robinhood-engineering/hello-ticker-20eaf6e51689#.d7nw27cle
"This post covers Doze Mode in more detail, the changes that are coming with Android Nougat and what you can do to correctly adapt to Doze Mode.",Diving into Doze Mode for Developers,Articles & Tutorials,www.bignerdranch.com,215,https://www.bignerdranch.com/blog/diving-into-doze-mode-for-developers/
MVVM + RxJava is a great formula for an app architecture making it scalable and maintainable. Here are a few lessons learned along the way.,MVVM + RxJava: Common Mistakes,Articles & Tutorials,upday.github.io,215,https://upday.github.io/blog/mvvm_rx_common_mistakes/
"Roberto Orgiu examins the new Awareness API, which combines 7 different feeds managing both the battery drain and the used memory.",Is your app Aware?,Articles & Tutorials,medium.com,215,https://medium.com/@_tiwiz/is-your-app-aware-6c831098310#.prq8v80oz
In this blog post Hannes Dorfmann gives you a brief history of the Repository Pattern and discusses why it could lead to over abstraction and over engineering.,The evolution of the repository pattern,Articles & Tutorials,hannesdorfmann.com,215,http://hannesdorfmann.com/android/evolution-of-the-repository-pattern
"With these three tips, we can obtain a greater ROI from our crash reporting implementation and gain more insights into the application.",Getting the most out of Crashlytics,Articles & Tutorials,medium.com,215,https://medium.com/fuzz/getting-the-most-out-of-crashlytics-380afb703876#.m8h2fvtfd
There's a trick to create() an observable that supports backpressure in a proper way. It turns out that there’s a helper class called SyncOnSubscribe that does this. But how do you use it? ,RxJava SyncOnSubscribe,Articles & Tutorials,www.littlerobots.nl,215,http://www.littlerobots.nl/blog/Note-to-self-RxJava-SyncOnSubscribe/
Dan Lew often sees confusion around Android View constructors. In this article he tries to answer all your questions.,A deep dive into Android View constructors,Articles & Tutorials,blog.danlew.net,215,http://blog.danlew.net/2016/07/19/a-deep-dive-into-android-view-constructors/
There are several articles that show how to start working with DI. Here Mirek Stanek shares his more advanced experiences with Dagger 2 after almost two years of having this in a production app.,Dagger 2 on production — reducing methods count,Articles & Tutorials,medium.com,215,https://medium.com/azimolabs/dagger-2-on-production-reducing-methods-count-5a13ff671e30#.gqtzeiza7
Here’s another way of explaining reactive programming: this time with Donald Duck and his nephews.,Building a Reactive Mindset,Articles & Tutorials,upday.github.io,215,https://upday.github.io/blog/reactive_mindset_burgers/
"Should we actually be using ConstraintLayout in “real” projects yet? The short answer is “No”, but firmness of that “No” is diminishing with each release.",ConstraintLayout – Part 8,Articles & Tutorials,blog.stylingandroid.com,215,https://blog.stylingandroid.com/constraintlayout-part-8/
David Karnok documents the meaning of backpressure in Reactive extensions.,Backpressure,Articles & Tutorials,stackoverflow.com,215,http://stackoverflow.com/documentation/rx-java/2341/backpressure#t=201607222027088359387
"On Hired, Android engineers typically get 5+ job offers in 1 week. Find that new opportunity you've been craving and get access to 3,500+ companies instantly.",Work on a Better Stack! ,Sponsored,hired.com,215,https://hired.com/?utm_source=newsletter&utm_medium=androidweekly&utm_term=cat-tech-android&utm_campaign=q2-16&utm_location=us&utm_content=betterstack
"Join our Mobile Software Engineering Team (Rheinfabrik) in Düsseldorf, Germany.",Software Engineer – Android,Jobs,Düsseldorf,215,http://bit.ly/2allfuC
"Mobile mercenaries, are you up for the challenge? We’re calling on you to follow your passion and find innovative ways to build a solid mobile experience and open up the world for all the world’s most daring adventurers.Enroll for online competition, get selected and come to Amsterdam!",Passions Hacked - Booking.com's open hackathon,Jobs,Amsterdam,215,https://workingatbooking.com/passions-hacked/
"We have fully embraced RXJava, using it for all async operations. We investigate and utilize new third party libraries, including but not limited to Butterknife/OkHTTP/Retrofit/Guava (not new but grrreat!) /Picasso/ Roboelectric/ Mockito, etc. etc.We were out with the release of Wear & Google Fit.",Principal Android Developer,Jobs,"Boston, MA",215,https://boards.greenhouse.io/runkeeper/jobs/200526
An Android text view with scrolling text change animation,Ticker,Libraries & Code,github.com,215,https://github.com/robinhood/ticker
Simple and powerful MVP library for Android,Ferro,Libraries & Code,github.com,215,https://github.com/MaksTuev/ferro
"Google Play is investing in improvements to reduce the data that needs to be transferred for app installs and updates, while making data cost more transparent to users.",Improvements for smaller app downloads on Google Play,News,android-developers.blogspot.com,215,http://android-developers.blogspot.com/2016/07/improvements-for-smaller-app-downloads.html
"Google has released Developer Preview 5, the last milestone of this preview series.",Final Developer Preview before Android 7.0 Nougat,News,android-developers.blogspot.com,215,http://android-developers.blogspot.com/2016/07/final-developer-preview.html
"Build great individual notifications, group them together, then create a summary notification - used on older Android versions and to build the bundle’s header on API 24 devices.",Bundled Notifications,Videos & Podcasts,www.youtube.com,215,https://www.youtube.com/watch?v=2ZQ1D003g14&feature=youtu.be
In this show Kaushik talks to Dan about translating an app for other languages.,Translating an app for different languages with Dan Lew,Videos & Podcasts,fragmentedpodcast.com,215,http://fragmentedpodcast.com/episodes/049/
"Rebecca Franks takes a look at how you can improve your users experience by reducing their mobile data usage. Three areas for improvement are covered, areas such as Server Interactions, Images and your Bundled APK size.",Reducing Mobile Data Usage in your Android Apps,Videos & Podcasts,www.youtube.com,215,https://www.youtube.com/watch?v=tnj2uoTwevg&feature=youtu.be
"There are thousands of ways to enrich mobile apps with big data from space - what's yours? Enter the challenge and seize the opportunity to meet with like-minded people, create mobile applications using satellite data und gain insight into ESA's work.",Apply Now For the Space App Camp,Events,www.app-camp.eu,215,http://www.app-camp.eu/
"Reto Meier shows how the Awareness API helps you engage users in specific situations using simple, battery efficient ways to check their current context, and to create “fences” so your app can react to a specific set of conditions.",Using the Awareness API for Android,Articles & Tutorials,medium.com,214,https://medium.com/google-developers/using-the-awareness-api-for-android-a185b05e7254#.tebafpllc
Dan Kim wrote a guide on how to go about writing and releasing an open source library for Android.,How I built your first Android open source library,Articles & Tutorials,m.signalvnoise.com,214,https://m.signalvnoise.com/how-i-built-my-first-android-open-source-library-and-how-you-can-too-8a731abbdd2a#.edy2ik5ej
This tutorial shows how to create a ripple effect in any color.,Programmatically create a RippleDrawable of any color,Articles & Tutorials,blog.blundellapps.co.uk,214,http://blog.blundellapps.co.uk/tut-programmatically-create-a-rippledrawable-of-any-color/
Colt McAnlis shares his obsession (addiction really) about Data Compression.,Understanding Compression,Articles & Tutorials,medium.com,214,https://medium.com/@duhroach/understanding-compression-69c874de6ad7#.jhzzf5ngh
"As one of the co-organizers of 360|AnDev, Dave Smith recently took it upon himself to build the conference Android app using Firebase. ",Firebase Drives the 360|AnDev Application,Articles & Tutorials,wiresareobsolete.com,214,http://wiresareobsolete.com/2016/07/360andev-firebase/
So far in this series Mark Allison has looked at many aspects of ContstraintLayout itself but there are a couple of features of the visual editor which are also worthy of study.,ConstraintLayout – Part 7,Articles & Tutorials,blog.stylingandroid.com,214,https://blog.stylingandroid.com/constraintlayout-part-7/
"Buddybuild is a mobile continuous integration and deployment platform that takes minutes to set-up. Our SDK makes it super easy to get feedback and crash reports from users in real-time. Stop cobbling together and maintaining disparate build, deployment, crash reporting and feedback systems. Focus on what you do best: creating apps people love!",Buddybuild: continuous integration & delivery made easy! ,Sponsored,buddybuild.com,214,https://buddybuild.com/?ref=androidweekly0717
Get the new Playbook app for developers to stay up to date with features and best practices that will help you grow a successful app or game business on Google Play.,Succeed on Google Play with help from a new app,Sponsored,play.google.com,214,https://play.google.com/store/apps/details?id=com.google.android.apps.secrets&utm_source=newsletter&utm_medium=email&utm_content=ad4&utm_campaign=androidweekly
Bored at work? Want to try a new stack? Find 3500+ great tech companies on Hired who will compete to hire you. Try it today.,Hired is the best place to find engineering jobs,Sponsored,hired.com,214,https://hired.com/?utm_source=newsletter&utm_medium=androidweekly&utm_term=cat-tech-android&utm_campaign=q2-16&utm_location=us&utm_content=bestplace
"We have fully embraced RXJava, using it for all async operations. We investigate and utilize new third party libraries, including but not limited to Butterknife/OkHTTP/Retrofit/Guava (not new but grrreat!) /Picasso/ Roboelectric/ Mockito, etc. etc.We were out with the release of Wear & Google Fit.",Principal Android Developer,Jobs,"Boston, MA",214,https://boards.greenhouse.io/runkeeper/jobs/200526
"ButterKnife v8.2.0 released with view binding support for library projects. Yes, you read that right.",butterknife,Libraries & Code,github.com,214,https://github.com/JakeWharton/butterknife/blob/master/CHANGELOG.md
"JetBrains presents the first preview version of Kotlin 1.1. It's far from Beta, but the brave and curious ones can play with new exciting things (and hopefully give some invaluable feedback).","First glimpse of Kotlin 1.1: Coroutines, Type aliases and more",News,blog.jetbrains.com,214,https://blog.jetbrains.com/kotlin/2016/07/first-glimpse-of-kotlin-1-1-coroutines-type-aliases-and-more/
"Matt Precious explains when and when not to go custom, and provide tips and tricks for getting the most out of your views. ",Don’t Fear the Canvas,Videos & Podcasts,www.youtube.com,214,https://www.youtube.com/watch?v=KH8Ldp39TUk&feature=youtu.be
"Ellen Shapiro compares iOS & Android Testing, and tells us one thing from each platform she would like to bring to the other. And yes, there are Futurama references.",iOS & Android Testing,Videos & Podcasts,www.youtube.com,214,https://www.youtube.com/watch?v=-__P_QID3Ag&feature=youtu.be
The goal of this presentation is to get you started developing great apps for Android Auto.,Android Auto: The Right Information for the Road Ahead,Videos & Podcasts,www.youtube.com,214,https://www.youtube.com/watch?v=GeSKaz6PCm4&feature=youtu.be
Direct Reply allows you to receive text input from the user directly in the notification shade.,Notifications with Direct Reply,Videos & Podcasts,www.youtube.com,214,https://www.youtube.com/watch?v=Zg4v9G-lku8&feature=youtu.be
"In this video, Google provides guidelines and best practices for enabling Google Cast for your app. They walk through live examples to demonstrate specific concepts.",UX Design for Google Cast,Videos & Podcasts,www.youtube.com,214,https://www.youtube.com/watch?v=Kch8n4tcOZQ&feature=youtu.be
