description,title,section,site,issue_num,link
"To provide you with a fully supported set of APIs for building SMS apps and to make the user experience for messaging more predictable, Android 4.4 (KitKat) makes the existing APIs public and adds the concept of a default SMS app, which the user can select in system settings. This means that if you are using the hidden SMS APIs on previous platform versions, you need to make some adjustments so your app continues to work when Android 4.4 is released later this year.",Getting Your SMS Apps Ready for KitKat,Articles & Tutorials,android-developers.blogspot.com,74,http://android-developers.blogspot.com/2013/10/getting-your-sms-apps-ready-for-kitkat.html
"Milan Babuškov shares how he created an Android game in 23 days for Ludum Dare, with a blog post for each day.",How I made an Android game in 23 days,Articles & Tutorials,bigosaur.com,74,http://bigosaur.com/blog/23days
In this article Mark Allison takes a look at the Java code and begin working on the changes that needed to make it backwardly compatible to API level 7 using ActionBarCompat.,ActionBarCompat - Part 3,Articles & Tutorials,blog.stylingandroid.com,74,http://blog.stylingandroid.com/archives/2061
This blog post shows how Snap Interactive creates Android app builds and distributes it automatically to testers via the DeployGate service.,Automating our Android App with Gradle and DeployGate,Articles & Tutorials,www.snap-interactive.com,74,http://www.snap-interactive.com/blog/automating-our-android-app-with-gradle-and-deploygate/
Another Android indie developer interview by Bartek.,Interview with Android indie developer interview: Veaceslav Grec,Articles & Tutorials,androiddreamrevised.blogspot.com,74,http://androiddreamrevised.blogspot.com/2013/10/android-indie-developer-interview_24.html
Matthew Mombrea shows some code for hooking up Volley's ImageLoader and NetworkImageView,Setting up the Android Google Volley ImageLoader for NetworkImageView,Articles & Tutorials,cypressnorth.com,74,http://cypressnorth.com/mobile-application-development/setting-android-google-volley-imageloader-networkimageview/
"Using Firebase's Java SDK, you can easily add real-time features to your app without worrying about networking, scaling, or writing complicated server code. Firebase's synchronization-based API is perfect for building cross-platform apps, and handles caching, reconnecting, and data merging. Get started in 2 minutes with the Quickstart Guide.",Firebase: A Real-Time Backend for Your Android App,Sponsored,www.firebase.com,74,https://www.firebase.com/docs/java-quickstart.html?utm_source=Android+Weekly+Newsletter&utm_medium=email&utm_campaign=Android+Weekly+10-25
"Finally, native customer support for iOS and Android apps. Increase retention and reduce negative reviews.",In-App Customer Support,Sponsored,launchbit.com,74,http://launchbit.com/taz/10355-4975-
Android Design Protip from Roman Nurik and Richard Ngo about using Smart Objects and Layer Based Slices to optimize production of stateful nine-patch assets.,Stateful nine-patches with Smart Objects,Design,plus.google.com,74,https://plus.google.com/+AndroidDevelopers/posts/Xi8f1B1MBHG
The 2.2 version of the Umano Android app features a sexy sliding up draggable panel for the currently playing article. This type of a panel is a common pattern also used in the Google Music app and the Rdio app. This is an open source implementation of this component that you are free to take advantage of in your apps.,SlidingUpPanel,Libraries & Code,github.com,74,https://github.com/umano/AndroidSlidingUpPanel
"If you are tired of the default look of Android Studio (and IntelliJ which it is based on), this article show how to switch to the better looking Monokai theme from Sublime Text 2.",How to get the Monokai Color theme in Android Studio,Tools,envyandroid.com,74,http://envyandroid.com/archives/1000/monokai-theme-in-android-studio-and-intellij
"In this series of posts, Philippe Breault will go from very basic productivity tricks that everyone should know to more advanced topics in Android Studio.",Android Studio Tips & Tricks: Moving Around,Tools,www.developerphil.com,74,http://www.developerphil.com/android-studio-tips-tricks-moving-around/
