description,title,section,site,issue_num,link
In this post Jason Feinstein introduces DebugPort 2.0. DebugPort is a SQLite REPL to debug your app during runtime.,DebugPort 2.0,Articles & Tutorials,medium.com,258,https://medium.com/@JasonWyatt/introducing-android-debugport-2-0-88ec4ed4db94
"For a good software design, it is very important to have “loosely coupled” classes. Loosely coupling improves testability and components can be replaced easier. But sometimes the concept is kinda hard to grasp on. In this post Ankit Sinhal will show you some examples and how to apply law of demeter.",Understanding Law of Demeter,Articles & Tutorials,medium.com,258,https://medium.com/@ankit.sinhal/design-principal-understand-law-of-demeter-4a44ac18e923
Nice reminder by Arun Sasidharan to keep your functions short and readable: Extract functions at comment blocks.,Object Oriented Tricks: #6 SLAP your functions,Articles & Tutorials,hackernoon.com,258,https://hackernoon.com/object-oriented-tricks-6-slap-your-functions-a13d25a7d994
"Google announced a guide to Android app architecture along with a preview of Architecture Components. Rather than reinventing the wheel, we're also recognizing the work done by popular Android libraries.",Android and Architecture,Articles & Tutorials,android-developers.googleblog.com,258,https://android-developers.googleblog.com/2017/05/android-and-architecture.html
Dan Lew's short post on the many myriad Kotlin features enable more concise and understandable code than Java without sacrificing performance or safety.,Why Kotlin?,Articles & Tutorials,blog.danlew.net,258,http://blog.danlew.net/2017/05/17/why-kotlin/
Great writeup by Israel Ferrer on new architecture strategies and how to avoid the the burrito pattern.,Android app architecture reloaded,Articles & Tutorials,blog.israelferrer.com,258,http://blog.israelferrer.com/post/160777825719/android-app-architecture-reloaded
Yonatan V. Levin had early access to the new Google “Architecture components”  and ported an MVP app to these new components.,My take on“Architecture Components”,Articles & Tutorials,medium.com,258,https://medium.com/@yonatanvlevin/weighing-in-on-the-holy-architecture-war-my-take-on-architecture-components-31f7025e9c66
Victoria Gonda teaches the basics of Kotlin by decompiling the generated JVM code to compare to Java implementations.,Kotlin: Uncovered - Part 1,Articles & Tutorials,collectiveidea.com,258,https://collectiveidea.com/blog/archives/2017/05/16/kotlin-uncovered-part-1
Victoria Gonda teaches the basics of Kotlin by decompiling the generated JVM code to compare to Java implementations.,Kotlin: Uncovered - Part 2,Articles & Tutorials,collectiveidea.com,258,https://collectiveidea.com/blog/archives/2017/05/19/kotlin-uncovered-part-2
"Mark Allison announces ConstraintLayout.com, a community-sourced documentation hub all about ConstraintLayout.",ConstraintLayout.com,Articles & Tutorials,blog.stylingandroid.com,258,https://blog.stylingandroid.com/constraintlayout-com/
