description,title,section,site,issue_num,link
In this article Danylo Volokh describes how to implement video playback in ListView & RecyclerView lists.,Implementing video playback in a scrolled list,Articles & Tutorials,medium.com,189,https://medium.com/@v.danylo/implementing-video-playback-in-a-scrolled-list-listview-recyclerview-d04bc2148429#.x8ep5ukgn
This article describes the steps needed to use Kotlin with the libGDX game libraries.,libGDX and Kotlin,Articles & Tutorials,obviam.net,189,http://obviam.net/index.php/libgdx-and-kotlin/
"In the previous part of this series, we took a look on how we could hook to the lifecycle of the Activity or Fragment that is hosting our reactive routine. Now, it’s time to see how we can manage events of the Android system, with the help of a great tool.",Crunching RxAndroid — Part 6,Articles & Tutorials,medium.com,189,https://medium.com/crunching-rxandroid/crunching-rxandroid-part-6-6149764b59e#.evgspw2m6
"This part of the series discusses non-essential permissions – those which are require for some nice features your app, but are not part of the core function.",Permissions – Part 4,Articles & Tutorials,blog.stylingandroid.com,189,https://blog.stylingandroid.com/permissions-part-4/
Mark Allison takes a look at how we can actually request the permissions that haven’t been granted.,Permissions – Part 3,Articles & Tutorials,blog.stylingandroid.com,189,https://blog.stylingandroid.com/permissions-part-3/
"One of the beauties of Android Studio is how quickly is evolves and improves. Each new release introduces a set of new features, new tools, and a collection of bug fixes — all of which can potentially improve your productivity.",How Often Should You Update Android Studio?,Articles & Tutorials,medium.com,189,https://medium.com/google-developers/how-often-should-you-update-android-studio-db25785c488e#.m5t08nfwv
"Buddybuild is the simplest and fastest way to automate building, deploying and gathering feedback from your testers. A 'git push' kicks off a build and instantly deploys to testers. With a simple screenshot, you'll receive tester feedback and diagnostic details to help resolve issues. With buddybuild, you can focus on what matters most: creating awesome apps.",Ship your Android apps faster with buddybuild,Sponsored,www.buddybuild.com,189,http://www.buddybuild.com/?ref=AndroidWeekly
"Android developers are in demand, so shouldn't companies apply to you? On Hired, that's exactly how it works. Get 5+ job offers from companies like Uber, Stripe, and Facebook with 1 application. Join Hired today and get a 1k bonus when you get a job!",Hired - The Marketplace for Android Developer Jobs,Sponsored,hrd.cm,189,http://hrd.cm/1JOwv92
"Microinteraction is one of the key things to care about in UI/UX design. They are, perhaps, the best proof that attention to small details is able to give big and powerful result.",UI Animation. Microinteraction for Macroresult,Design,medium.com,189,https://medium.com/@tubikstudio/ui-animation-microinteraction-for-macroresult-668cd9e71101#.kspyn2wni
Companies around the world use Yammer to allow their employees to communicate and collaborate openly. We're looking for great developers who want to have a huge impact. Microsoft is helping people around the globe achieve more by giving them the best possible tools for any moment.,Android Developer - Yammer,Jobs,San Francisco,189,http://aka.ms/T982ji
"Lifesum is looking for product-aware engineers that are creative builders. If you are someone passionate about building great Android apps, we will love to talk to you.",Android Mobile Engineer,Jobs,"Stockholm, Sweden",189,http://jobs.lifesum.com/jobs/343-android-developer
"Composed is a pioneering classical music streaming service, helping people discover music they love. We’re a small, autonomous product team, constantly evolving our technology stack.Join us and help shape the future of music streaming.",Android Developer at Composed,Jobs,"London, UK",189,https://composed.recruiterbox.com/jobs/fk0halb/
How much time do you spend each day waiting for Gradle? Now you know! This is a Gradle plugin to continuously track and report your build times.,build-time-tracker-plugin,Libraries & Code,github.com,189,https://github.com/passy/build-time-tracker-plugin
Simple implementation of Drag and Drop in RecyclerView,DragRecyclerView,Libraries & Code,github.com,189,https://github.com/AleBarreto/DragRecyclerView
Generate build info for your Android project without breaking incremental compilation,paperwork,Libraries & Code,github.com,189,https://github.com/zsoltk/paperwork
This project aims to provide an ultimate and flexible image cropping experience,uCrop,Libraries & Code,github.com,189,https://github.com/Yalantis/uCrop
"Just one universal API to access multiple cloud services and devices. Access over thirty services and devices, or define an API with the CloudRail workbench configuration tool. Completely free, even for commercial projects.",CloudRail - The API to Everything,Libraries & Code,cloudrail.com,189,http://cloudrail.com/universal-api-to-everything-android/
You can now generate  in the Google Play Developer Console and distribute promo codes to current and new users on Google Play to drive engagement.,Create promo codes for your apps and in-app products,News,android-developers.blogspot.com,189,http://android-developers.blogspot.com/2016/01/create-promo-codes-for-your-apps-and-in.html
"Google just pushed Android Studio 2.0 Preview 7 to the canary channel. This contains a number of bug fixes on top of preview 6, particularly in the Instant Run area (there is also a 2.0.0-alpha7 version of the Gradle plugin).",Android Studio 2.0 Preview 7 Available,News,tools.android.com,189,http://tools.android.com/recent/androidstudio20preview7available
"On our first remote interview, Huyen asks Nathaniel Waggoner, engineer extraordinaire at Cyanogen, all about audio.",Android Dialogs: Nathaniel Waggoner,Videos & Podcasts,www.youtube.com,189,https://www.youtube.com/watch?v=f88Edf75fvg
"Huyen sits down with Kelly Shuster to talk about lessons learned from working in embedded systems, Women Who Code (WWC), accessibility, and library dependency management",Android Dialogs: Kelly Shuster,Videos & Podcasts,www.youtube.com,189,https://www.youtube.com/watch?v=T5A10vqioy4&feature=youtu.be
"In this episode Donn and Kaushik chat with the one and only Israel Ferrer Camacho. They discuss a talk Israel gave sometime back on “Android development like a pro”, exchanging war stories on patterns like MVP, MVVP clean architecture etc.",Fragmented 026 – LetMeExplainYou AndroidDev like a pro,Videos & Podcasts,fragmentedpodcast.com,189,http://fragmentedpodcast.com/episodes/26/
"In this episode, the team recycles the guest list to bring back a former guest, Yigit Boyar, this time to talk about the RecyclerView widget.",Android Developers Backstage 41: RecyclerView,Videos & Podcasts,androidbackstage.blogspot.com,189,http://androidbackstage.blogspot.com/2016/01/episode-41-recyclerview.html
